
itemID: 1
Date,WARN,RuntimeException,transport error,AccessDeniedException,404,UnknownHostException,RemoteException
2017-Aug-22 10H,0,0,0,2,15,0,0,15,0,0,0,0
2017-Aug-22 11H,0,0,0,2,24,0,0,24,0,0,0,0
2017-Aug-22 12H,0,0,0,2,22,0,0,30,0,0,0,0
2017-Aug-22 13H,0,0,0,2,5,0,0,3,0,0,0,0
2017-Aug-22 14H,0,0,0,2,1,0,0,5,0,0,0,0
2017-Aug-22 15H,0,0,0,2,1,0,0,0,0,0,0,0
2017-Aug-22 16H,0,0,0,2,0,0,0,0,0,0,0,0
2017-Aug-22 17H,0,0,0,2,0,0,0,0,0,0,0,0
2017-Aug-22 18H,0,0,0,2,0,0,0,0,0,0,0,0
2017-Aug-22 19H,0,0,0,2,0,0,0,0,0,0,0,0
2017-Aug-22 20H,0,0,0,2,0,0,0,0,0,0,0,0
2017-Aug-22 21H,0,0,0,2,0,0,0,0,0,0,0,0
2017-Aug-22 22H,0,0,0,2,0,0,0,0,0,0,0,0
2017-Aug-22 23H,0,0,0,2,0,0,0,0,0,0,0,0
2017-Aug-23 00H,0,0,0,2,0,0,0,0,0,0,0,0
2017-Aug-23 01H,0,0,0,2,0,0,0,0,0,0,0,0
2017-Aug-23 02H,0,0,0,2,0,0,0,0,0,0,0,0
2017-Aug-23 03H,0,0,0,2,0,0,0,0,0,0,0,0
2017-Aug-23 04H,0,0,0,2,0,0,0,0,0,0,0,0
2017-Aug-23 05H,0,0,0,2,0,0,0,0,0,0,0,0
2017-Aug-23 06H,0,0,0,2,0,0,0,0,0,0,0,0
